tweet_id,retweet_count,favorite_count
831262627380748289,1894,11179
830956169170665475,1379,7519
830583320585068544,15437,62515
830173239259324417,5251,0
830097400375152640,2703,9172
829878982036299777,4615,0
829861396166877184,1796,11537
829501995190984704,9788,29926
829449946868879360,1863,9893
829141528400556032,6778,22932
829011960981237760,15128,50315
828801551087042563,3168,0
828770345708580865,5403,24114
828708714936930305,10345,34298
828650029636317184,1241,8962
828409743546925057,1081,6047
828408677031882754,1189,7264
828381636999917570,2064,11883
828376505180889089,995,6989
828372645993398273,2728,11879
828361771580813312,165,2072
828046555563323392,2658,11066
828011680017821696,1997,9783
827933404142436356,4839,18872
827653905312006145,2796,14604
827600520311402496,865,7064
827324948884643840,2812,14957
827199976799354881,2062,10009
826958653328592898,4615,20334
826848821049180160,9351,34056
826615380357632002,3684,0
826598799820865537,230,4862
826598365270007810,2183,9458
826476773533745153,3894,17379
826240494070030336,2420,12534
826204788643753985,856,4601
826115272272650244,2875,14740
825876512159186944,1737,9925
825829644528148480,2336,12027
825535076884762624,16364,53993
825147591692263424,4188,17271
825120256414846976,1168,0
825026590719483904,1168,5910
824796380199809024,5104,0
824775126675836928,3278,14067
824663926340194305,1648,9941
824325613288833024,9895,11185
824297048279236611,3569,14234
824025158776213504,558,4576
823939628516474880,2541,10056
823719002937630720,10366,0
823699002998870016,2336,13213
823581115634085888,2445,12272
823333489516937216,22,662
823322678127919110,3719,14837
823269594223824897,9235,0
822975315408461824,3200,16369
822872901745569793,39923,124115
822859134160621569,2111,12460
822647212903690241,5958,0
822610361945911296,2736,13975
822489057087389700,5958,17116
822462944365645825,13158,26319
822244816520155136,9235,33123
822163064745328640,4380,0
821886076407029760,2142,10679
821813639212650496,3127,0
821765923262631936,1556,7906
821522889702862852,1633,7573
821421320206483457,5129,0
821407182352777218,3996,11107
821153421864615936,9,236
821149554670182400,1826,8113
821107785811234820,1975,9071
821044531881721856,2126,11964
820837357901512704,6241,0
820749716845686786,9220,29849
820690176645140481,3004,11589
820494788566847489,523,0
820446719150292993,2395,0
820314633777061888,523,3160
820078625395449857,5794,18657
820013781606658049,1082,0
819952236453363712,1082,5016
819924195358416896,4549,12239
819711362133872643,2877,12618
819588359383371776,1868,9160
819347104292290561,1116,6844
819238181065359361,379,2139
819227688460238848,6241,21800
819015337530290176,34546,0
819015331746349057,17796,0
819006400881917954,17796,43043
819004803107983360,34546,82705
818646164899774465,19459,0
818627210458333184,7060,21230
818614493328580609,2354,9303
818588835076603904,5698,0
818536468981415936,2273,10277
818307523543449600,7467,0
818259473185828864,2088,10423
818145370475810820,2369,11621
817908911860748288,740,4608
817827839487737858,25135,48653
817777686764523521,2521,10227
817536400337801217,2729,11128
817502432452313088,3145,0
817423860136083457,13604,31869
817415592588222464,890,5296
817181837579653120,7872,0
817171292965273600,1869,8312
817120970343411712,2413,11549
817056546584727552,1518,8140
816829038950027264,4392,0
816816676327063552,1896,9480
816697700272001025,2056,9244
816450570814898180,7467,28720
816336735214911488,1803,8165
816091915477250048,1990,8481
816062466425819140,944,0
816014286006976512,4882,0
815990720817401858,944,4688
815966073409433600,7872,21139
815745968457060357,3860,0
815736392542261248,2121,9310
815639385530101762,1553,7827
815390420867969024,3573,9828
814986499976527872,1187,7258
814638523311648768,2524,10694
814578408554463233,5461,0
814530161257443328,1740,8219
814153002265309185,8115,27260
813944609378369540,2958,0
813910438903693312,1733,8858
813812741911748608,13037,34646
813800681631023104,1649,7884
813217897535406080,6852,17691
813202720496779264,1706,8772
813187593374461952,4048,18841
813172488309972993,1809,8811
813157409116065792,2066,7382
813142292504645637,2244,8084
813130366689148928,418,4261
813127251579564032,2921,11211
813112105746448384,2571,9798
813096984823349248,3391,10038
813081950185472002,2596,9421
813066809284972545,1830,7545
813051746834595840,6865,19926
812781120811126785,1788,7152
812709060537683968,1352,6293
812503143955202048,1148,5742
812466873996607488,1802,7573
812372279581671427,3424,12940
811985624773361665,1312,6916
811647686436880384,682,5321
811627233043480576,2853,12081
811386762094317568,5985,19874
810984652412424192,1332,5059
810896069567610880,1644,8550
810657578271330305,2468,10432
810284430598270976,10497,33335
810254108431155201,3168,13980
809920764300447744,3684,14785
809808892968534016,4582,0
809448704142938112,1370,6612
809220051211603969,5251,18896
809084759137812480,3307,12567
808838249661788160,2868,9646
808733504066486276,2034,7508
808501579447930884,2455,10764
808344865868283904,19459,40218
808134635716833280,5521,0
808106460588765185,2070,8390
808001312164028416,3313,11855
807621403335917568,3391,13859
807106840509214720,51681,111697
807059379405148160,6891,0
807010152071229440,3636,12480
806629075125202948,32397,70642
806620845233815552,5148,0
806576416489959424,1825,4664
806542213899489280,2218,9740
